QuestionID,CASCADE,CASCADE+BERT,CASCADE+COUNTER,MCAN,MCAN+BERT,MCAN+ROBERTA,MCAN+ALBERT,PANOPTIC
270810006,train,train,train,train,train,yes,train,train
270810007,yes,no,yes,no,no,no,no,no
139740000,yes,no,no,yes,yes,yes,yes,yes
139740001,cargo,luggage,luggage,nothing,car,people,passengers,people
139740002,no,no,no,yes,yes,yes,yes,yes
139740003,blue and yellow,yellow,yellow,silver,silver,silver,silver,red and white
139740004,blue,yellow,yellow,silver,silver,silver,silver,white
270815000,white,white,white,green,green,green,green,green
270815001,red,blue,white,green,green,green,green,green
270815002,12,3,23,12,2,2,2,10
270815003,pitcher,pitcher,catcher,pitcher,pitcher,pitcher,pitcher,pitcher
270815004,black,black,black,black,black,black,black,black
270815005,no,no,yes,no,no,no,no,no
270815006,hat,hat,hat,hat,hat,hat,hat,hat
270815007,adult,adult,adult,adult,adult,adult,adult,adult
270815008,yes,baseball,yes,dirt,baseball,yes,baseball,dirt
270815009,left,right,right,left,right,right,left,left
270815010,baseball,baseball,baseball,baseball,baseball,baseball,baseball,baseball
270815011,glove,glove,glove,glove,glove,glove,glove,glove
372816000,1,1,1,2,1,2,2,1
372816001,no,no,no,yes,yes,no,yes,yes
372816002,yes,yes,yes,yes,yes,yes,yes,yes
372816003,no,no,no,yes,yes,yes,yes,yes
372816004,ceiling,ceiling,ceiling,ceiling,ceiling,ceiling,ceiling,ceiling
372816005,1,1,1,3,3,2,2,1
372816006,no,no,no,no,yes,yes,no,no
532963000,ocean,ocean,lake,lake,lake,lake,lake,lake
532963001,7,10,8,10,9,8,10,6
532963002,red,white,white,white,white,white,white,white
8676000,yes,no,no,yes,yes,yes,yes,yes
8676001,tree,tree,palm,0,0,0,0,tree
8676002,wood,tile,wood,tile,tile,tile,tile,tile
139749000,umbrellas,umbrellas,umbrellas,lights,lights,lights,umbrellas,lights
139749001,2,10,10,0,3,many,10,many
139749002,daytime,afternoon,afternoon,night,night,night,night,night
401897000,white,white,white,red,red,red,red,red
401897001,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard
401897002,white,white,white,red,red,red,red,red
401897003,beach,beach,beach,beach,beach,surfing,beach,beach
401897004,1,1,1,0,1,0,1,1
401901000,no,no,no,no,no,no,no,no
401901001,white,white,white,black,black,black,black,white
401901002,no,yes,yes,no,yes,no,yes,no
401901003,no,no,yes,yes,yes,no,yes,no
401901004,yes,yes,yes,yes,yes,yes,yes,yes
401901005,soccer,no,yes,yes,yes,yes,yes,yes
401901006,8,7,10,8,8,8,8,8
401901007,8,10,10,10,10,8,8,10
401901008,no,yes,yes,no,yes,yes,yes,no
401901009,soccer,soccer,soccer,soccer,soccer,soccer,soccer,soccer
401901010,white,white,white,white,white,white,white,white
401901011,yes,yes,yes,no,yes,no,yes,no
401901012,no,no,yes,no,no,no,no,no
401901013,3,3,3,2,2,2,3,2
8688000,cotton,wood,wood,wood,wood,wood,wood,wood
8688001,white,white,white,red,red,red,red,red
8688002,old,old,old,10,old,new,new,old
8690000,no,yes,no,yes,no,yes,no,yes
8690001,dogs,dogs,dogs,sheep,cow,sheep,sheep,sheep
8690002,black,pink,pink,black,black,black,black,pink
401907000,2,4,4,4,3,4,3,4
401907001,red,red,green,green,green,green,green,green
401907002,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing
532983000,white,white,white,brown,brown,brown,brown,white
532983001,white,white,white,white,white,white,white,white
532983002,train,chairs,0,train,train,0,train,bikes
532985000,playing,playing,playing,playing,fighting,playing,fighting,playing
532985001,black,brown,brown,brown,brown,brown,brown,brown
532985002,dry,wet,wet,wet,wet,wet,wet,dry
532985003,yes,yes,yes,yes,yes,no,yes,yes
532989000,ground,ground,on ground,ground,on ground,ground,ground,left
532989001,yes,yes,yes,yes,yes,yes,yes,yes
532989002,rocks,leaves,wood,log,log,log,log,grass
532994000,black,black,black,red,red,red,red,red
532994001,2,2,2,2,2,1,2,2
532994002,people,transportation,transportation,riding,transportation,riding,people,transportation
8708000,yes,yes,yes,yes,yes,yes,yes,yes
8708001,glasses,nose,glasses,glasses,glasses,glasses,glasses,nothing
8708002,bear,bear,bear,bear,teddy bear,teddy bear,bear,bear
139781000,woman,woman,woman,man,man,man,man,man
139781001,no,yes,yes,no,no,no,no,no
139781002,cat,cat,cat,bird,cat,cat,bird,dog
139781003,yes,yes,yes,no,yes,yes,yes,no
139781004,no,yes,yes,yes,yes,yes,yes,no
139781005,ball,kite,kite,bird,nothing,nothing,nothing,kite
139781006,white,white,white,white,white,white,white,white
139781007,bird,kite,building,house,building,nowhere,building,building
139781008,no,no,no,no,no,no,no,no
401926000,no,no,no,no,no,yes,no,no
401926001,suit,tie,tie,suit,suit,suit,suit,suit
401926002,red,red,red,white,white,white,white,black
8711000,yes,no,yes,yes,yes,yes,yes,yes
8711001,usa,usa,usa,china,usa,china,usa,usa
8711002,no,yes,yes,no,no,no,no,no
8711003,brown,brown,brown,brown,white,white,white,gray
8711004,unknown,unknown,unknown,no,unknown,unknown,unknown,0
8711005,yes,yes,yes,yes,yes,yes,yes,yes
139785000,pepperoni,pepperoni,pepperoni,olives,olives,olives,olives,pepperoni
139785001,no,no,no,yes,no,no,yes,no
139785002,yes,yes,yes,yes,yes,yes,yes,yes
139785003,yes,yes,yes,no,no,no,yes,no
533003000,yes,yes,yes,no,yes,yes,yes,yes
533003001,2,3,1,1,1,7,3,2
533003002,toaster,toaster,blender,blender,toaster,blender,blender,blender
533003003,2,3,11,1,1,0,1,2
533003004,blender,blender,cabinet,table,shelf,counter,counter,sink
533003005,water,nothing,juice,water,nothing,nothing,water,water
8718000,strawberry,strawberry,strawberry,strawberry,strawberries,strawberry,strawberries,strawberry
8718001,half,half,half,half,half,half,half,half
8718002,no,no,no,yes,no,yes,yes,yes
401935000,1,1,1,1,1,1,1,1
401935001,no,no,yes,yes,yes,yes,yes,no
401935002,red,red,yellow,red,red,red,red,red
401935003,red,red,yellow,red,red,red,red,red
401935004,2,2,2,3,3,3,3,3
401935005,no,no,no,yes,yes,yes,yes,yes
401935006,moving,yes,moving,moving,yes,yes,moving,moving
401935007,20,10,15,2,2,2,10,10
8721000,0,left,right,0,left,no,right,0
8721001,desk,nothing,nothing,windows,website,nothing,windows,yes
8721002,yes,yes,yes,yes,yes,yes,yes,yes
8721003,3,2,3,2,2,2,2,3
8721004,yes,yes,yes,yes,yes,yes,yes,yes
8721005,2,2,2,2,2,2,2,2
8721006,3,3,2,2,2,2,2,2
8721007,white,blue,red,yellow,yellow,yellow,yellow,white
8721008,paper,paper,paper,paper,paper,paper,paper,paper
8721009,yes,yes,yes,yes,yes,yes,yes,yes
533013000,yes,yes,no,no,no,no,no,no
533013001,yes,yes,yes,yes,no,yes,yes,yes
533013002,yes,yes,yes,yes,yes,yes,yes,no
401951000,fire,barn,house,fire,office,store,store,fire
401951001,caution,slow,caution,no,caution,caution,caution,nothing
401951002,no,yes,no,no,yes,yes,no,no
533026000,no,no,no,no,no,no,no,no
533026001,cat,cat,cat,cat,cat,cat,cat,cat
533026002,no,yes,yes,yes,no,yes,yes,no
270883000,no,no,yes,no,no,no,no,no
270883001,no,no,yes,sleeping,yes,no,yes,yes
270883002,no,no,yes,no,yes,no,yes,no
270883003,watch,watch,watch,bracelet,bracelet,nothing,bracelet,watch
270883004,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom
270883005,bedroom,sleep,0,sleeping,sleeping,woman,summer,0
270883006,floral,solid,solid,solid,solid,0,solid,0
270883007,yes,yes,yes,yes,yes,no,yes,yes
270883008,blue,black,blue,blue,blue,blue,blue,white
533032000,no,no,no,no,no,no,no,no
533032001,no,yes,yes,yes,yes,yes,yes,no
533032002,2,3,2,2,3,2,2,2
533032003,no,no,no,no,no,yes,yes,no
533032004,no,no,yes,no,yes,yes,no,no
533032005,carriage,carriage,carriage,car,car,carriage,nothing,carriage
533032006,no,no,no,no,no,yes,yes,no
533032007,horse,car,horse,car,car,car,building,car
307292000,brown,brown,brown,brown,brown,brown,brown,brown
307292001,left,left,left,left,left,left,left,right
307292002,no,yes,yes,yes,yes,yes,yes,yes
8749000,0,1,0,0,0,0,0,0
8749001,cheese,plate,cutting board,plate,plate,plate,plate,cheese
8749002,cheese,cheese,veggie,veggie,pepperoni,yes,tomato,cheese
533039000,yes,yes,yes,yes,yes,yes,yes,yes
533039001,yes,no,no,no,yes,yes,yes,no
533039002,yes,yes,yes,yes,yes,no,yes,yes
401971000,computer,computer,computer,computer,books,computer,storage,work
401971001,2,2,2,3,2,2,3,1
401971002,2,2,2,3,2,2,3,2
401971003,1,1,1,2,2,3,1,1
401971004,2,3,2,3,3,3,3,2
284623000,yellow,yellow,yellow,green,green,green,green,green
284623001,sink,sink,sink,water,sink,sink,sink,bowl
284623002,orange,black,orange,black,black,black,black,black
456584000,no,no,no,yes,no,no,no,no
456584001,station,station,train station,train station,station,waiting,train station,station
456584002,red,red,red,red,red,red,red,red
456584003,train station,train station,train station,train station,train station,airport,train station,train station
456584004,1,2,0,1,1,0,1,0
456584005,yes,yes,yes,no,no,no,no,no
456584006,0,2,2,2,2,1,0,2
8762000,no,no,no,no,no,no,no,no
8762001,stop,stop,stop,go,go,go,go,stop
8762002,3,2,2,3,2,2,2,3
8762003,no,no,no,no,no,no,no,yes
8762004,red,red,red,green,green,green,green,green
270908000,hit ball,0,fell,playing tennis,fell,no,playing tennis,tired
270908001,logo,logo,logo,bird,logo,logo,logo,stripes
270908002,tennis racket,tennis racket,tennis racket,tennis racket,tennis racket,tennis racket,tennis racket,bat
139843000,gray,brown,gray,green,green,green,green,brown
139843001,0,0,0,sun,0,0,0,0
139843002,no,evening,2,noon,1,noon,noon,1
139843003,large,large,large,large,large,large,large,large
139843004,0,1:05,2,12,1,12,yes,1
139843005,night,evening,night,daytime,daytime,daytime,morning,daytime
270918000,apartment,church,apartment,church,tower,church,church,church
270918001,2,1,3,1,2,2,1,1
270918002,night,afternoon,afternoon,night,night,night,night,night
270918003,yes,yes,yes,no,no,no,no,no
8775000,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom
8775001,white,white,white,tan,tan,tan,tan,yellow
8775002,2,2,2,4,2,2,3,4
8775003,yes,yes,yes,yes,yes,yes,yes,yes
8775004,bed,bed,bed,pictures,bed,bed,picture,picture
219916000,toilet paper,toilet paper,toilet paper,rug,rug,rug,rug,rug
219916001,blue,blue,blue,green,green,green,green,blue
219916002,no,yes,yes,yes,yes,yes,yes,no
533069000,yes,yes,yes,yes,yes,yes,yes,no
533069001,noon,noon,noon,noon,night,noon,noon,daytime
533069002,safety,safety,safety,safety,safety,safety,safety,safety
533069003,no,no,no,no,yes,yes,no,no
533069004,yes,yes,no,no,no,no,no,yes
533069005,2,2,2,2,12,10,2,1
533069006,no,no,no,no,no,no,no,no
533069007,black,red,black,blue,blue,blue,blue,black
547597000,1,1,1,2,2,2,2,1
547597001,yes,no,no,yes,no,yes,no,yes
547597002,p,p,p,,p,p,,
139856000,bakery,bakery,bakery,store,store,store,store,store
139856001,donut,donut,donut,donut,donut,donut,donut,donut
139856002,donut,donut,donut,donut,donut,donut,donut,donut
139856003,0,1,0,1,1,1,1,1
139856004,yes,yes,yes,yes,no,no,no,yes
139856005,female,male,female,female,female,female,female,female
139856006,free,5,5,2,2.00,lot,1,0
139856007,blonde,red,red,black,brown,black,brown,brown
139856008,hat,sunglasses,sunglasses,sunglasses,sunglasses,sunglasses,sunglasses,hat
139858000,water,water,water,water,water,seagull,water,water
139858001,1,1,1,1,1,1,1,1
139858002,seagull,seagull,seagull,seagull,seagull,seagull,seagull,crane
8787000,yes,yes,yes,yes,yes,yes,yes,yes
8787001,yes,yes,yes,yes,no,yes,yes,yes
8787002,yes,yes,yes,yes,yes,yes,yes,yes
482062000,0,0,1,0,0,2,2,0
482062001,yes,yes,yes,yes,yes,no,yes,yes
482062002,walking,walking,grazing,standing,standing,standing,standing,grazing
482062003,zebra,zebra,zebra,zebra,zebra,zebra,zebra,goat
482062004,3,3,3,2,2,2,2,2
482062005,no,yes,yes,no,yes,no,yes,yes
482062006,zebra,zebra,zebra,zebra,zebra,zebra,zebra,goat
482062007,yes,yes,yes,yes,yes,no,no,no
482062008,no,no,no,yes,no,no,no,yes
482062009,yes,yes,yes,no,no,no,no,no
482062010,no,no,no,no,no,no,no,no
482062011,no,no,no,yes,yes,yes,yes,no
482062012,zebra,zebra,zebra,zebra,zebra,zebra,zebra,goat
482062013,no,no,yes,no,no,no,no,no
482062014,no,yes,no,no,no,no,no,no
482062015,0,0,0,0,2,2,0,2
482062016,walking,walking,grazing,standing,standing,standing,standing,grazing
482062017,zebras,zebras,zebras,zebras,zebras,zebras,zebras,sheep
482062018,blue,blue,blue,blue,blue,blue,blue,blue
139871000,0,2,1,3,9,1,2,2
139871001,yes,no,no,no,no,no,no,yes
139871002,yes,yes,yes,no,no,no,no,yes
139871003,cross,star,star,star,star,star,star,cross
139871004,1,1,1,1,1,1,1,1
139871005,no,no,no,no,no,no,no,no
139871006,2,2,2,3,0,3,3,2
139872000,no,no,no,no,yes,no,no,no
139872001,dog,dog,dog,dog,dog,dog,dog,dog
139872002,green,green,green,green,green,green,green,green
139872003,yes,yes,yes,yes,yes,yes,yes,yes
139872004,no,yes,no,no,no,no,yes,no
219920000,0,0,0,0,0,0,0,0
219920001,yes,yes,yes,yes,no,yes,yes,yes
219920002,tower,building,building,pole,pole,building,building,pole
219920003,1,1,1,1,1,2,2,2
219920004,on building,on building,on building,on building,on building,on building,on building,on building
219920005,yes,yes,yes,yes,yes,no,no,yes
219920006,no,noon,noon,4,0,yes,4,2
219920007,no,noon,noon,4,0,yes,0,2
219920008,sunny,sunny,sunny,cloudy,cloudy,cloudy,clear,sunny
219920009,50,0,0,12,0,0,0,0
219920010,big ben,0,0,roman,0,0,0,0
219920011,metal,metal,metal,metal,metal,metal,metal,metal
219920012,pole,building,pole,pole,pole,building,building,building
219920013,noon,noon,noon,noon,noon,2,noon,noon
219920014,brick,brick,brick,brick,brick,brick,brick,brick
219920015,no,noon,noon,4,0,yes,yes,2
8803000,ground,wall,ground,ground,ground,left,ground,on wall
8803001,1,1,1,3,3,2,2,1
8803002,no,no,no,no,no,no,no,no
8803003,no,yes,yes,no,no,yes,no,no
132540000,no,yes,yes,yes,no,yes,no,no
132540001,table,neither,neither,table,neither,no,bottle,no
132540002,yes,yes,yes,yes,yes,yes,yes,yes
139883000,nothing,nothing,nothing,frisbee,frisbee,frisbee,frisbee,flowers
139883001,6,6,3,2,3,2,3,3
139883002,tree,wall,wall,trees,trees,trees,tree,tree
533106000,frisbee,frisbee,frisbee,frisbee,frisbee,frisbee,frisbee,frisbee
533106001,catching frisbee,frisbee,frisbee,walking,standing,walking,watching,catching
533106002,yes,yes,yes,yes,yes,yes,yes,no
533106003,yes,yes,no,no,no,yes,yes,no
533107000,no,no,no,no,no,no,yes,no
533107001,0,can't tell,bus,coca cola,nothing,no,dog,nothing
533107002,double decker,double decker,double decker,double decker,double decker,double decker,double decker,double decker
533107003,red,red,red,red,red,red,red,red
533107004,unknown,unknown,double decker,coca cola,unknown,no,double decker,double decker
533107005,yes,yes,yes,yes,no,no,no,yes
533107006,yes,yes,yes,yes,yes,yes,yes,yes
533107007,yes,yes,yes,yes,no,no,no,no
533107008,no,nothing,bus,coca cola,no,can't tell,yes,can't tell
533107009,double decker,0,bus,double decker,stop,no,yes,stop
8832000,yes,no,no,no,no,no,no,no
8832001,birthday,birthday,birthday,birthday,birthday,birthday,birthday,birthday
8832002,smile,cake,smile,cake,cake,smile,smile,smile
533123000,yes,yes,yes,yes,yes,yes,no,no
533123001,yes,yes,yes,yes,yes,yes,yes,no
533123002,no,no,no,no,yes,no,no,yes
533123003,clock,picture,chair,picture,picture,clock,picture,picture
285462000,15,15,12,14,10,15,10,8
285462001,snowboard,snowboard,snowboard,snowboard,snowboard,snowboard,snowboard,snowboard
285462002,10,1,1,10,7,7,9,7
285462003,no,no,no,yes,yes,yes,yes,no
285462004,2,0,2,0,2,2,0,2
533129000,toys,boxes,boxes,nothing,nothing,nothing,nothing,books
533129001,flowers,floral,0,stripes,stripes,stripes,stripes,floral
533129002,3,3,3,2,2,3,2,3
533129003,2,2,2,2,2,2,2,2
8844000,yes,yes,yes,no,no,no,no,yes
8844001,no,no,no,no,no,no,no,no
8844002,10,many,30,many,20,30,100,10
8844003,0,0,1,0,0,0,0,20
8844004,market,market,market,store,kitchen,store,restaurant,restaurant
8844005,50,all of them,all,0,0,0,0,20
8844006,no,no,yes,no,no,no,no,yes
8844007,floor,floor,floor,table,floor,table,table,floor
8844008,yes,yes,no,yes,yes,yes,yes,yes
8844009,yes,yes,yes,yes,no,no,no,yes
8844010,yes,yes,no,no,no,no,no,yes
8844011,no,no,no,no,no,no,no,no
8844012,no,no,no,no,no,no,no,no
8844013,yes,no,yes,yes,yes,yes,yes,yes
8844014,no,no,no,no,no,no,no,no
8844015,table,basket,basket,bananas,table,table,table,bowl
8844016,50,30,50,50,50,30,100,30
8844017,table,on table,on table,table,table,table,table,table
8844018,no,no,no,no,no,no,yes,no
8844019,yes,yes,yes,no,yes,no,no,yes
8844020,many,many,many,0,0,many,0,many
8844021,yes,yes,yes,yes,yes,yes,yes,yes
8844022,bananas,table,fence,bananas,nothing,door,table,bananas
139917000,no,no,no,no,yes,no,yes,no
139917001,no,yes,yes,yes,yes,yes,yes,yes
139917002,nothing,dog,dog,tv,dog,tv,nothing,nothing
139917003,no,no,no,no,no,no,no,yes
139917004,0,lab,lab,0,golden retriever,golden retriever,golden retriever,0
139917005,no,no,no,no,no,no,no,no
139917006,christmas,christmas,christmas,winter,christmas,summer,fall,christmas
139917007,no,no,no,no,no,no,no,yes
533137000,ski,ski,warning,picture,picture,stop,picture,skiing
533137001,deep,1 foot,1 foot,shallow,deep,1 foot,deep,deep
533137002,skiing,skiing,skiing,skiing,skiing,skiing,skiing,skiing
533140000,2,2,2,2,3,0,1,2
533140001,sheep,sheep,sheep,sheep,sheep,sheep,sheep,sheep
533140002,yes,no,yes,yes,no,no,no,yes
8853000,snow,snow,snow,snow,rocks,rocks,rocks,snow
8853001,yes,no,no,no,no,no,no,no
8853002,yes,yes,no,yes,yes,yes,no,yes
8853003,ski poles,ski poles,ski poles,ski poles,ski poles,ski poles,ski poles,ski poles
8853004,top,top,top,top,top,top,top,top
8853005,2,2,2,2,2,1,1,2
8853006,red,red,red,yellow,yellow,yellow,yellow,yellow
8853007,red,red,red,yellow,yellow,yellow,yellow,yellow
533145000,wii,tv,tv,wii,wii,wii,wii,wii
533145001,right,left,left,hand,left,right,right,right
533145002,yes,no,no,no,no,no,no,no
533145003,yes,yes,yes,yes,yes,yes,yes,yes
533145004,yes,yes,yes,yes,yes,yes,no,yes
402077000,no,yes,no,no,no,yes,yes,no
402077001,2,2,2,2,2,2,2,2
402077002,carrot,carrots,carrot,hot dog,carrot,hot dog,carrot,carrot
519673000,4,2,7,3,2,4,2,0
519673001,yes,yes,yes,no,yes,no,no,no
519673002,yes,yes,yes,yes,yes,yes,yes,no
519673003,people,people,graffiti,tracks,people,people,people,tracks
519673004,8,0,2,9,0,2,2,0
519673005,steam,steam,steam,steam,yes,yes,yes,steam
533156000,yes,yes,yes,yes,no,yes,yes,yes
533156001,no,no,no,no,no,no,no,no
533156002,brown,black,brown,brown,brown,brown,brown,brown
271017000,unknown,unknown,metro,metro,metro,metro,yes,metro
271017001,stop,crosswalk,bus,stop,windows,parking,windows,bus
271017002,nowhere,on bus,bus,bus,bus,bus,bus,nowhere
8876000,yes,yes,yes,no,yes,yes,yes,no
8876001,0,time,nothing,12,roman numerals,time,9,roman numerals
8876002,yes,no,yes,yes,yes,yes,yes,yes
533166000,yes,yes,yes,yes,yes,yes,yes,yes
533166001,no,no,no,no,no,no,no,no
533166002,no,yes,yes,yes,yes,yes,yes,yes
533166003,clean,clean,clean,clean,clean,clean,clean,clean
533166004,wood,wood,wood,wood,wood,wood,wood,wood
533166005,8,6,12,12,10,10,10,8
402096000,sign,sign,sign,sign,sign,sign,sign,sign
402096001,crosswalk,caution,caution,caution,caution,caution,caution,parking
402096002,4,2,2,0,0,1,11,2
402096003,6,2,2,0,0,2,6,2
402096004,person,octagon,rectangle,circle,circle,circle,circle,dog
402096005,asphalt,asphalt,asphalt,brick,brick,brick,brick,concrete
402096006,no,yes,no,no,no,no,no,no
139953000,metal,metal,metal,metal,metal,metal,metal,plastic
139953001,4,4,4,2,2,2,2,4
139953002,yes,yes,yes,no,yes,yes,yes,yes
533171000,yes,yes,yes,yes,yes,yes,no,yes
533171001,yes,yes,yes,yes,yes,yes,yes,yes
533171002,bridle,bridle,bridle,bridle,bridle,bridle,bridle,bridle
533171003,ford,ford,ford,ford,ford,ford,ford,ford
533171004,no,no,no,no,no,no,no,no
533171005,brown,brown,brown,brown,brown,brown,brown,brown
533173000,no,no,no,no,no,no,no,no
533173001,yes,yes,yes,yes,yes,yes,yes,no
533173002,4,3,4,2,4,2,3,1
271032000,gray,gray,gray,brown,gray,brown,gray,brown
271032001,fish,fish,fish,fish,fish,fish,fish,fish
271032002,yes,yes,yes,yes,yes,yes,yes,yes
271032003,water,sky,sky,rocks,water,sky,water,in water
271032004,yes,yes,yes,yes,yes,yes,yes,yes
271035000,cat,cat,cat,cat,cat,cat,cat,cat
271035001,tabby,tabby,tabby,tabby,tabby,tabby,tabby,tabby
271035002,yes,yes,yes,yes,yes,yes,yes,yes
271035003,nothing,nothing,nothing,trash,trash,nothing,trash,cat
271035004,sink,sink,sink,sink,sink,sink,sink,sink
402109000,yes,yes,yes,no,yes,yes,yes,no
402109001,no,yes,yes,no,no,no,no,no
402109002,man,not sure,no 1,boy,no 1,boy,no 1,man
402109003,hat,hat,headphones,hat,hat,hat,hat,headphones
402109004,sitting,typing,typing,eating,sitting,typing,watching,typing
402109005,banana,banana,bananas,banana,banana,banana,banana,0
402109006,no,yes,yes,no,no,yes,no,yes
402109007,2,2,2,2,2,2,2,1
402109008,1,1,1,1,1,1,1,1
402109009,yes,yes,yes,yes,yes,yes,yes,no
402109010,yes,yes,yes,no,yes,no,yes,yes
402109011,1,1,1,2,1,2,2,1
402109012,wood,wood,wood,wood,wood,wood,wood,wood
139969000,chinese,pizza,pizza,chinese,pizza,sandwiches,pizza,chinese
139969001,1,0,0,3,3,0,4,1
139969002,3,3,2,5,3,2,5,6
8899000,yellow,red,red,silver,silver,brown,silver,yellow
8899001,office,store,office,store,store,store,store,store
8899002,graffiti,graffiti,graffiti,graffiti,graffiti,graffiti,graffiti,graffiti
8899003,bike,bicycle,bicycle,bike,car,bike,0,truck
8899004,no,no,yes,no,no,no,no,no
8899005,no,no,no,no,no,no,no,no
8899006,office,store,office,store,store,store,store,store
8899007,yes,no,yes,no,no,no,no,no
139973000,yes,yes,yes,yes,no,yes,yes,yes
139973001,baseball,baseball,baseball,bat,ball,baseball,no,baseball
139973002,yes,yes,yes,yes,yes,yes,yes,yes
271046000,left,left,right,right,right,right,left,left
271046001,yes,yes,yes,yes,yes,yes,yes,yes
271046002,tall,tall,tall,tall,tall,very tall,tall,tall
271046003,no,no,no,no,no,no,no,no
271046004,fence,fence,trees,tree,tree,trees,tree,tree
271046005,leaves,leaves,leaves,leaves,leaves,leaves,leaves,leaves
271046006,no,no,no,no,no,no,no,no
271046007,1,1,1,1,1,1,1,1
271046008,no,yes,no,yes,yes,yes,yes,no
271046009,no,no,no,no,no,no,no,no
271046010,lot,little,little,lot,little,half,half,lot
402123000,yes,no,no,no,yes,no,no,yes
402123001,yes,yes,yes,yes,yes,yes,yes,yes
402123002,yes,yes,no,yes,yes,yes,yes,yes
533201000,no,yes,yes,yes,yes,yes,yes,yes
533201001,0,0,1,2,0,7,2,0
533201002,no,yes,yes,no,no,no,no,no
533201003,white,blue,blue,green,green,green,green,blue
533201004,yes,yes,yes,0,0,nothing,airplane,no
533206000,no,yes,yes,no,yes,yes,no,no
533206001,3,2,2,2,2,2,2,2
533206002,sandwich,sandwich,sandwich,sandwich,sandwich,sandwich,sandwich,sandwich
271063000,no,no,no,no,yes,yes,no,no
271063001,yes,yes,yes,yes,yes,yes,yes,yes
271063002,paint,paint,sink,wood,oven,nothing,nothing,paint
139992000,no,yes,no,yes,yes,yes,yes,no
139992001,female,female,female,male,female,female,female,female
139992002,yes,yes,yes,yes,no,yes,no,yes
8922000,tile,tile,tile,tile,tile,tile,tile,tile
8922001,yes,yes,yes,yes,yes,yes,yes,no
8922002,black,black,brown,black,gray,blue,black,black
8923000,white,white,white,white,white,white,white,white
8923001,skateboarding,skateboarding,skateboarding,skateboarding,skateboarding,skateboarding,skateboarding,flying kite
8923002,blonde,blonde,blonde,red,red,red,red,blonde
8923003,skateboard,on skateboard,skateboard,skateboard,skateboard,skateboard,skateboard,grass
8923004,0,2,2,2,3,4,3,2
8923005,3 feet,tall,6 feet,3 feet,short,3 feet,short,tall
8923006,yes,yes,yes,yes,yes,no,yes,yes
271068000,iphone,iphone,iphone,cell,cell,iphone,cell,cell
271068001,daytime,noon,noon,noon,daytime,noon,noon,night
271068002,black,red,black,red,red,red,red,red
271068003,yes,yes,yes,yes,yes,yes,yes,yes
533217000,yes,no,no,yes,no,no,no,no
533217001,red,red,red,red,red,red,red,red
533217002,2,2,4,2,2,4,2,2
533217003,yes,no,yes,no,no,no,no,no
533217004,yes,yes,yes,yes,yes,yes,yes,yes
271076000,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon,afternoon
271076001,no,no,yes,no,no,no,no,no
271076002,yes,yes,yes,no,no,yes,yes,yes
271076003,noon,noon,noon,noon,4,noon,4,11
271076004,yes,yes,yes,yes,yes,yes,yes,yes
271076005,nothing,nothing,nothing,nothing,nothing,nothing,nothing,nothing
271076006,yes,yes,yes,yes,yes,yes,yes,no
271076007,roman numerals,roman numerals,roman numerals,roman numerals,roman numerals,roman numerals,arabic,roman numerals
271076008,christmas,christmas,christmas,summer,summer,summer,summer,christmas
271076009,tower,roof,roof,pole,pole,sky,sky,pole
271076010,yes,yes,yes,yes,yes,yes,no,no
140006000,no,no,no,no,no,no,no,no
140006001,2,2,2,3,2,3,2,4
140006002,yes,yes,yes,yes,yes,yes,yes,yes
140007000,black,red,red,black,black,black,black,white
140007001,yes,no,yes,yes,yes,yes,yes,yes
140007002,no,no,yes,yes,yes,yes,yes,no
140007003,snow,snow,snow,snow,snow,snow,snow,snow
140007004,yes,yes,yes,no,yes,no,yes,no
140010000,yes,no,yes,yes,yes,yes,yes,yes
140010001,yes,yes,yes,yes,yes,yes,no,yes
140010002,vanilla,chocolate,chocolate,chocolate,chocolate,vanilla,chocolate,chocolate
140010003,yes,yes,yes,yes,yes,yes,yes,yes
140010004,yes,yes,yes,no,yes,yes,no,yes
533227000,no,yes,no,no,no,no,no,no
533227001,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard
533227002,1,1,1,2,2,3,0,1
533227003,nothing,nothing,nothing,nothing,nothing,wetsuit,nothing,nothing
533227004,yes,yes,yes,no,yes,yes,yes,yes
140017000,cheese,cheese,cheese,veggie,veggie,veggie,mushroom,veggie
140017001,no,yes,yes,yes,yes,yes,yes,yes
140017002,no,no,no,yes,yes,yes,no,yes
140017003,no,no,no,yes,no,yes,no,yes
140017004,no,yes,yes,no,yes,no,yes,yes
140017005,pizza,remote,pizza cutter,remote,knife,knife,pan,olives
140020000,noon,afternoon,daytime,5,evening,afternoon,afternoon,1
140020001,no,no,no,no,no,no,no,no
140020002,london,london,london,london,london,unknown,london,unknown
140021000,silver,blue,silver,red,red,red,red,red
140021001,black,brown,brown,red,red,red,black,red
140021002,yes,yes,no,no,no,no,no,no
